number_volume,number_issue,article_quant,article_one_quant,article_one_share,article_judge_quant,article_judge_share,year,period,name_book_len_mean,name_book_len_std,page_start,page_end,page_start_mod,page_end_mod,page_quant_1,page_quant_2,page_quant_mean,page_quant_std,page_quant_min,page_quant_max,author_number_mean,author_number_std,author_number_min,author_number_max,theme,special_1
1,1,7,5,0.7142857142857143,1,0.14285714285714285,1999,1999-1,44.714285714285715,24.95806005892209,1,131,1,131,131,129,18.428571428571427,7.138093649734567,7,26,1.8571428571428568,1.8644544714716087,1,6,,0
1,2,7,6,0.8571428571428571,2,0.2857142857142857,1999,1999-2,37.0,18.814887722226786,133,318,133,318,186,183,26.142857142857146,11.334733807028305,6,43,2.7142857142857144,4.535573676110727,1,13,,0
1,3,6,3,0.5,2,0.3333333333333333,1999,1999-3,45.66666666666666,43.070484866862905,319,499,319,499,181,180,30.0,13.870832707519762,3,40,2.833333333333333,4.535048695071164,0,12,,0
2,1,6,2,0.3333333333333333,0,0.0,2000,2000-1,25.66666666666667,11.944315244779274,1,108,1,108,108,110,18.33333333333333,9.500877152487904,2,28,1.3333333333333333,0.8164965809277259,0,2,,0
2,2,5,3,0.6,0,0.0,2000,2000-2,34.0,23.227139298673873,113,238,113,238,126,124,24.8,2.7748873851023217,22,28,1.0,0.7071067811865476,0,2,,0
2,3,5,3,0.6,1,0.2,2000,2000-3,61.8,33.108911187171344,243,389,243,389,147,145,29.0,5.873670062235365,24,39,1.0,0.7071067811865476,0,2,,0
2,4,8,4,0.5,0,0.0,2000,2000-4,69.5,41.65847538531111,397,563,397,563,167,166,20.75,10.430039035675481,1,34,1.25,1.2817398889233116,0,4,,0
3,1,7,5,0.7142857142857143,0,0.0,2001,2001-1,46.714285714285715,37.16052693254984,1,130,1,130,130,134,19.142857142857142,6.542898731412842,6,27,1.0,0.5773502691896257,0,2,,0
3,2,5,3,0.6,0,0.0,2001,2001-2,69.2,41.11812252523211,135,256,135,256,122,121,24.2,8.07465169527454,12,32,1.0,0.7071067811865476,0,2,,0
3,3,5,4,0.8,0,0.0,2001,2001-3,78.6,45.390527646195075,261,381,261,381,121,119,23.8,8.927485648266257,9,33,0.8,0.4472135954999579,0,1,,0
3,4,6,4,0.6666666666666666,0,0.0,2001,2001-4,77.83333333333333,39.422920575049574,387,538,387,538,152,148,24.66666666666667,6.408327915038887,14,33,1.3333333333333333,1.3662601021279464,0,4,,0
4,1,6,2,0.3333333333333333,0,0.0,2002,2002-1,59.66666666666666,28.83516371839541,1,156,1,156,156,155,25.83333333333333,5.7416606192517765,16,34,1.8333333333333333,1.4719601443879746,0,4,,0
4,2,4,0,0.0,0,0.0,2002,2002-2,93.0,21.57158624981792,161,260,161,260,100,98,24.5,1.2909944487358056,23,26,2.5,0.5773502691896257,2,3,,0
4,3,3,2,0.6666666666666666,0,0.0,2002,2002-3,55.33333333333334,42.66536456346451,265,329,265,329,65,65,21.66666666666667,1.5275252316519463,20,23,1.3333333333333333,0.5773502691896258,1,2,,0
4,4,5,2,0.4,0,0.0,2002,2002-4,65.4,49.21686702747342,331,424,331,424,94,93,18.6,9.208691546577072,6,27,1.2,0.8366600265340756,0,2,,0
5,1,3,1,0.3333333333333333,1,0.3333333333333333,2003,2003-1,71.33333333333333,17.243356208503418,1,90,1,90,90,90,30.0,7.211102550927977,22,36,1.3333333333333333,1.5275252316519468,0,3,,0
5,2,5,1,0.2,1,0.2,2003,2003-2,43.2,22.55437873229941,93,231,93,231,139,135,27.0,14.560219778561034,5,45,1.6,1.1401754250991378,0,3,,0
5,3,5,2,0.4,0,0.0,2003,2003-3,69.2,35.63285001231308,235,345,235,345,111,110,22.0,4.847679857416329,18,30,1.2,0.8366600265340756,0,2,,0
5,4,6,5,0.8333333333333334,0,0.0,2003,2003-4,65.16666666666667,21.92183082378537,349,463,349,463,115,111,18.5,7.893034904268446,3,25,1.1666666666666667,0.40824829046386296,1,2,,0
6,1,6,2,0.3333333333333333,1,0.16666666666666666,2004,2004-1,98.5,33.53058305487693,1,117,1,117,117,115,19.166666666666668,8.183316361150085,3,26,1.8333333333333333,0.7527726527090809,1,3,,0
6,2,10,6,0.6,2,0.2,2004,2004-2,71.2,49.240453107401656,119,260,119,260,142,138,13.8,10.19585972616118,2,32,1.2,0.6324555320336759,0,2,,0
6,3,7,4,0.5714285714285714,0,0.0,2004,2004-3,40.857142857142854,29.974592415514017,263,412,263,412,150,149,21.285714285714285,13.499559075691893,2,36,1.4285714285714286,0.5345224838248488,1,2,,0
6,4,6,0,0.0,0,0.0,2004,2004-4,28.16666666666667,18.443607745413228,421,534,421,534,114,111,18.5,9.481561052906848,1,25,1.8333333333333333,0.983192080250175,0,3,,0
7,1,9,2,0.2222222222222222,0,0.0,2005,2005-1,49.77777777777778,33.666666666666664,1,193,1,193,193,189,21.0,9.643650760992957,2,29,2.2222222222222223,2.2236106773543893,0,7,,0
7,2,8,6,0.75,0,0.0,2005,2005-2,41.5,18.761663039293715,195,375,195,375,181,178,22.25,12.209481093454732,2,35,1.0,0.5345224838248488,0,2,,0
7,3,6,3,0.5,0,0.0,2005,2005-3,57.0,38.884444190447155,377,509,377,509,133,131,21.83333333333333,10.381072520056234,2,29,0.8333333333333334,0.7527726527090809,0,2,,0
7,4,5,3,0.6,0,0.0,2005,2005-4,77.0,75.10326224605694,511,613,511,613,103,102,20.4,12.461942063739505,1,34,0.6,0.5477225575051662,0,1,,0
8,1,9,4,0.4444444444444444,2,0.2222222222222222,2006,2006-1,75.1111111111111,39.60885142378041,1,211,1,211,211,207,23.0,8.74642784226795,2,31,1.2222222222222223,0.97182531580755,0,3,,0
8,2,7,3,0.42857142857142855,1,0.14285714285714285,2006,2006-2,54.57142857142857,41.311246018718045,215,355,215,355,141,137,19.571428571428573,6.629659188252512,8,27,1.2857142857142858,0.7559289460184545,0,2,"Concepts, approaches and problems of work-life balance",1
8,3,7,5,0.7142857142857143,0,0.0,2006,2006-3,64.42857142857143,41.724721460452926,357,488,357,488,132,128,18.285714285714285,7.111359122659223,3,24,0.7142857142857143,0.4879500364742666,0,1,,0
8,4,6,2,0.3333333333333333,1,0.16666666666666666,2006,2006-4,67.5,36.24775855139185,491,624,491,624,134,131,21.83333333333333,11.089033621856622,1,34,1.5,1.0488088481701516,0,3,,0
9,1,6,3,0.5,1,0.16666666666666666,2007,2007-1,63.16666666666666,32.33213056182142,1,111,1,111,111,110,18.33333333333333,8.358628276617322,2,26,2.0,1.2649110640673518,1,4,,0
9,2,9,5,0.5555555555555556,1,0.1111111111111111,2007,2007-2,60.33333333333334,36.455452267116364,115,312,115,312,198,192,21.33333333333333,8.958236433584457,3,29,1.6666666666666667,1.7320508075688772,0,6,,0
9,3,8,4,0.5,2,0.25,2007,2007-3,80.0,31.919541708131447,313,490,313,490,178,176,22.0,9.149551120917666,2,32,1.75,0.8864052604279183,1,3,,0
9,4,9,5,0.5555555555555556,0,0.0,2007,2007-4,59.88888888888889,44.99567880487093,491,678,491,678,188,185,20.555555555555557,9.328867979437687,3,32,1.2222222222222223,0.6666666666666667,0,2,,0
9,5,7,6,0.8571428571428571,0,0.0,2007,2007-5,73.57142857142857,32.217268365775226,681,796,681,796,116,115,16.428571428571427,6.051367417290709,4,21,1.2857142857142858,0.7559289460184545,1,3,The European Public Sphere and Mass Communications,1
10,1,7,5,0.7142857142857143,0,0.0,2008,2008-1,70.28571428571429,35.08900248280215,1,140,1,140,140,137,19.571428571428573,7.849780100044053,2,24,1.1428571428571428,0.8997354108424372,0,3,,0
10,2,9,7,0.7777777777777778,0,0.0,2008,2008-2,31.555555555555557,19.79337711907136,143,325,143,325,183,177,19.666666666666668,9.473647660748208,1,28,1.5555555555555556,1.130388330520878,1,4,Cultural Spaces in Europe,1
10,3,13,4,0.3076923076923077,1,0.07692307692307693,2008,2008-3,36.615384615384606,32.21681357494991,325,523,325,523,199,193,14.846153846153848,11.894299431843768,2,30,1.2307692307692308,1.4232501627054277,0,4,,0
10,4,8,6,0.75,2,0.25,2008,2008-4,51.0,17.598701250782273,525,686,525,686,162,158,19.75,4.590362575159894,14,29,1.25,0.4629100498862757,1,2,"Professional work in Europe: concepts, theories, and methodologies",1
10,5,10,5,0.5,0,0.0,2008,2008-5,35.4,23.936025846688363,687,867,687,867,181,179,17.9,9.882082551545274,1,26,1.7,1.2516655570345725,0,4,,0
11,1,8,4,0.5,3,0.375,2009,2009-1,59.875,36.99589745595353,1,185,1,185,185,182,22.75,9.223417401995238,2,34,1.875,1.3562026818605375,1,5,,0
11,2,7,2,0.2857142857142857,0,0.0,2009,2009-2,36.714285714285715,21.37533068527273,187,313,187,313,127,125,17.857142857142858,10.668154658117954,2,27,1.8571428571428568,0.6900655593423543,1,3,,0
11,3,8,3,0.375,3,0.375,2009,2009-3,39.875,18.51977707363517,315,469,315,469,155,152,19.0,3.7032803990902057,10,21,1.75,0.7071067811865476,1,3,At a crossroads: Contemporary lives between fate and choice,1
11,4,8,4,0.5,0,0.0,2009,2009-4,40.875,26.26479175082654,471,624,471,624,154,152,19.0,7.910210399946929,2,30,1.75,0.8864052604279182,1,3,,0
11,5,7,3,0.42857142857142855,2,0.2857142857142857,2009,2009-5,39.0,19.252705437591537,625,773,625,773,149,145,20.714285714285715,8.459989868281673,2,27,1.5714285714285714,0.5345224838248488,1,2,,0
12,1,8,7,0.875,0,0.0,2010,2010-1,47.875,26.567636058074225,1,136,1,136,136,133,16.625,9.31875988070761,2,27,1.125,0.3535533905932738,1,2,,0
12,2,10,7,0.7,1,0.1,2010,2010-2,45.5,19.699125756123177,137,288,137,288,152,147,14.7,10.56251232740898,2,25,1.3,0.483045891539648,1,2,,0
12,3,9,6,0.6666666666666666,1,0.1111111111111111,2010,2010-3,49.77777777777778,22.867978582385554,289,448,289,448,160,156,17.333333333333332,11.224972160321824,2,28,1.3333333333333333,0.5,1,2,,0
12,4,10,8,0.8,1,0.1,2010,2010-4,45.1,23.525163832231502,449,598,449,598,150,146,14.6,11.097547276563214,2,27,1.2,0.4216370213557839,1,2,,0
12,5,11,5,0.4545454545454545,0,0.0,2010,2010-5,42.27272727272727,26.9224475450911,599,ebi,599,768,170,167,15.181818181818182,10.533927869680726,1,26,1.5454545454545454,0.9341987329938276,0,3,,0
13,1,9,4,0.4444444444444444,3,0.3333333333333333,2011,2011-1,49.0,29.27456233660889,1,167,1,167,167,163,18.11111111111111,8.521215354109478,3,25,1.6666666666666667,0.7071067811865476,1,3,,0
13,2,9,5,0.5555555555555556,1,0.1111111111111111,2011,2011-2,62.444444444444436,38.2266631787,169,329,169,329,161,156,17.333333333333332,9.069178573608527,2,27,1.4444444444444444,0.5270462766947299,1,2,,0
13,3,7,2,0.2857142857142857,0,0.0,2011,2011-3,51.85714285714285,24.10690476072897,331,503,331,503,173,169,24.142857142857146,4.7759317216145165,15,29,2.0,0.8164965809277259,1,3,Career Mobility,1
13,4,7,3,0.42857142857142855,0,0.0,2011,2011-4,39.57142857142857,24.261472494864112,505,635,505,635,131,127,18.142857142857142,10.367072415884364,3,25,1.5714285714285714,0.5345224838248488,1,2,,0
13,5,10,6,0.6,0,0.0,2011,2011-5,45.4,47.26097756077417,637,ebi,637,788,152,150,15.0,11.105554165971787,1,26,1.2,0.6324555320336759,0,2,,0
14,1,16,12,0.75,2,0.125,2012,2012-1,48.125,27.39555925084696,1,159,1,159,159,157,9.8125,10.765492712056117,1,29,1.25,0.44721359549995787,1,2,,0
14,2,16,12,0.75,0,0.0,2012,2012-2,47.0,43.09833716823268,i,314,161,314,154,156,9.75,8.004165582161995,1,20,1.125,0.5,0,2,"Antisemitism, Racism, and Islamophobia",1
14,3,10,3,0.3,1,0.1,2012,2012-3,53.0,25.686139799077978,315,469,315,469,155,155,15.5,11.257096527178852,1,31,1.7,0.9486832980505138,0,3,,0
14,4,9,7,0.7777777777777778,0,0.0,2012,2012-4,25.88888888888889,9.505846154399462,471,632,471,632,162,162,18.0,7.297259759663213,2,25,1.4444444444444444,1.0137937550497031,1,4,Post-identity? Culture and the politics of European integration,1
14,5,11,6,0.5454545454545454,3,0.2727272727272727,2012,2012-5,46.0,14.608216865860115,633,ebi,633,786,154,155,14.090909090909092,11.166508366132591,1,28,1.4545454545454546,0.9341987329938276,0,3,,0
15,1,7,4,0.5714285714285714,1,0.14285714285714285,2013,2013-1,66.42857142857143,41.00754866630104,1,152,1,152,152,152,21.714285714285715,8.788520651286838,3,31,1.7142857142857142,0.951189731211342,1,3,,0
15,2,10,7,0.7,2,0.2,2013,2013-2,36.8,27.987298706536304,153,308,153,308,156,156,15.6,6.3456021516217564,2,22,1.4,0.6992058987801011,1,3,Focused Issue: Art Markets and Sociology of Culture,1
15,3,12,10,0.8333333333333334,0,0.0,2013,2013-3,46.75,25.391927851189237,309,469,309,469,161,161,13.416666666666664,8.26227278145375,2,23,1.1666666666666667,0.38924947208076144,1,2,,0
15,4,9,2,0.2222222222222222,2,0.2222222222222222,2013,2013-4,48.444444444444436,14.371074343199878,471,635,471,635,165,165,18.33333333333333,5.5,4,22,2.1111111111111107,0.7817359599705717,1,3,The Mediterranean Welfare Regime and the Current Crisis,1
15,5,10,6,0.6,2,0.2,2013,2013-5,53.1,26.88432008935072,637,ebi,637,785,149,150,15.0,11.095544651395493,1,27,1.4,0.966091783079296,0,3,,0
16,1,11,6,0.5454545454545454,2,0.18181818181818182,2014,2014-1,42.27272727272727,22.217519704462557,1,163,1,163,163,163,14.818181818181818,10.077878564640297,2,25,1.5454545454545454,0.6875516509523286,1,3,,0
16,2,11,7,0.6363636363636364,0,0.0,2014,2014-2,62.45454545454545,32.10409206429497,165,324,165,324,160,160,14.545454545454545,8.813213220654953,2,24,1.6363636363636365,1.026910636104941,1,4,School-to-Work Transitions,1
16,3,13,10,0.7692307692307693,0,0.0,2014,2014-3,59.53846153846154,25.81864760405866,325,475,325,475,151,151,11.615384615384615,8.251650961458779,4,23,1.3846153846153846,0.869718492622904,1,4,,0
16,4,9,7,0.7777777777777778,0,0.0,2014,2014-4,47.444444444444436,28.62739558146668,477,640,477,640,164,164,18.22222222222221,8.870988921447509,3,27,1.2222222222222223,0.4409585518440985,1,2,,0
16,5,10,2,0.2,3,0.3,2014,2014-5,39.6,29.458822485330643,641,ebi,641,794,154,156,15.6,12.32161605562445,1,31,1.3,1.0593499054713802,0,3,,0
17,1,11,9,0.8181818181818182,1,0.09090909090909091,2015,2015-1,56.27272727272727,25.86925166714689,1,127,1,127,127,130,11.818181818181818,10.274416594806556,2,26,1.5454545454545454,1.507556722888818,1,6,,0
17,2,7,3,0.42857142857142855,1,0.14285714285714285,2015,2015-2,58.85714285714285,42.99003206724621,129,278,129,278,150,150,21.428571428571427,10.179344164485627,3,37,1.7142857142857142,0.7559289460184544,1,3,,0
17,3,8,3,0.375,1,0.125,2015,2015-3,59.25,29.99880950018802,279,400,279,400,122,123,15.375,11.312919289782936,2,32,1.875,0.991031208965115,1,4,,0
17,4,11,8,0.7272727272727273,1,0.09090909090909091,2015,2015-4,86.0909090909091,35.69721150301392,401,616,401,616,216,216,19.63636363636364,9.351713503660463,2,34,1.7272727272727273,1.4206272622267315,1,5,,0
17,5,8,5,0.625,0,0.0,2015,2015-5,65.875,36.2390377513374,617,ebi,617,751,135,136,17.0,12.153776602944687,1,33,1.25,0.8864052604279183,0,3,,0
18,1,7,4,0.5714285714285714,1,0.14285714285714285,2016,2016-1,79.57142857142857,45.29480155182321,1,116,1,116,116,116,16.571428571428573,8.997354108424373,3,23,1.5714285714285714,0.7867957924694432,1,3,,0
18,2,4,2,0.5,1,0.25,2016,2016-2,111.0,32.020826556060875,117,199,117,199,83,83,20.75,1.5,19,22,2.0,1.4142135623730951,1,4,,0
18,3,5,1,0.2,2,0.4,2016,2016-3,107.6,50.307057159011,201,290,201,290,90,90,18.0,8.689073598491383,3,24,2.2,0.8366600265340756,1,3,,0
18,4,6,3,0.5,1,0.16666666666666666,2016,2016-4,94.83333333333331,28.91654658956817,291,409,291,409,119,119,19.83333333333333,8.565434412022933,4,30,1.5,0.5477225575051661,1,2,,0
18,5,9,5,0.5555555555555556,0,0.0,2016,2016-5,138.77777777777777,108.9171448599551,417,ebi,417,563,147,148,16.444444444444443,11.314936048329118,1,27,1.3333333333333333,0.8660254037844386,0,3,,0
19,1,7,5,0.7142857142857143,1,0.14285714285714285,2017,2017-1,101.42857142857143,41.194081868059406,1,117,1,117,117,118,16.857142857142858,9.719886340703294,3,27,1.2857142857142858,0.4879500364742666,1,2,,0
19,2,6,2,0.3333333333333333,3,0.5,2017,2017-2,104.16666666666669,86.88018569654803,119,221,119,221,103,103,17.166666666666668,7.782458908768272,2,24,2.5,1.3784048752090219,1,4,Female Labour and Local Welfare Systems,1
19,3,7,4,0.5714285714285714,1,0.14285714285714285,2017,2017-3,90.71428571428572,36.74558606469756,223,340,223,340,118,119,17.0,9.71253485622231,3,25,1.5714285714285714,0.7867957924694431,1,3,,0
19,4,8,6,0.75,0,0.0,2017,2017-4,101.625,55.7415912941136,341,516,341,516,176,176,22.0,7.091242083423348,5,26,1.375,0.7440238091428449,1,3,,0
19,5,8,5,0.625,1,0.125,2017,2017-5,90.5,37.92473749791439,517,669,517,669,153,153,19.125,8.675704993996575,3,29,1.5,0.7559289460184544,1,3,The social dynamics of religion in the public domain,1
20,1,6,1,0.16666666666666666,2,0.3333333333333333,2018,2018-1,116.33333333333331,15.474710551951096,1,156,1,156,156,156,26.0,6.7230945255886425,20,39,3.5,2.8106938645110398,1,9,,0
20,2,8,4,0.5,2,0.25,2018,2018-2,90.25,34.10802167902945,159,353,159,353,195,195,24.375,4.1726148019814016,20,32,2.25,1.48804761828569,1,5,,0
20,3,9,7,0.7777777777777778,0,0.0,2018,2018-3,89.22222222222223,30.78464624523797,357,548,357,548,192,192,21.33333333333333,8.06225774829855,2,29,1.3333333333333333,0.7071067811865476,1,3,Toward a European Social Topography,1
20,4,9,7,0.7777777777777778,2,0.2222222222222222,2018,2018-4,96.0,29.920728600754362,549,698,549,698,150,152,16.88888888888889,10.030509015554053,3,26,1.2222222222222223,0.4409585518440984,1,2,,0
20,5,6,1,0.16666666666666666,2,0.3333333333333333,2018,2018-5,110.33333333333331,28.57038093317389,699,834,699,834,136,136,22.66666666666667,5.680375574437544,16,31,1.8333333333333333,0.40824829046386296,1,2,Family Understandings in Contemporary Europe,1
21,1,8,2,0.25,3,0.375,2019,2019-1,84.5,25.03711530622374,1,180,1,180,180,180,22.5,8.585702400752412,3,29,4.5,7.131419413913535,1,22,,0
21,2,8,3,0.375,2,0.25,2019,2019-2,85.375,45.25147984951904,181,325,181,325,145,145,18.125,8.659222993845514,2,24,2.25,1.2817398889233114,1,4,European Citizens in Times of Crisis,1
21,3,6,2,0.3333333333333333,2,0.3333333333333333,2019,2019-3,91.16666666666669,44.530513882804755,327,443,327,443,117,117,19.5,9.710818709048173,1,29,2.1666666666666665,1.940790217067952,0,5,,0
21,4,9,2,0.2222222222222222,5,0.5555555555555556,2019,2019-4,75.33333333333333,35.16034698349833,445,626,445,626,182,182,20.22222222222221,7.628528327563871,2,27,1.7777777777777777,0.4409585518440984,1,2,The Far Right as Social Movement,1
21,5,7,2,0.2857142857142857,3,0.42857142857142855,2019,2019-5,130.0,58.72534943843814,629,801,629,801,173,173,24.714285714285715,4.1518785191880605,20,32,2.2857142857142856,1.3801311186847085,1,5,Crises and Solidarities in Europe,1
22,1,10,6,0.6,2,0.2,2020,2020-1,81.4,37.73356890385831,1,156,1,156,156,158,15.8,11.14350832448102,3,30,1.6,0.966091783079296,1,4,,0
22,2,5,3,0.6,2,0.4,2020,2020-2,115.6,33.82750360283774,157,289,157,289,133,133,26.6,6.188699378706322,20,35,1.8,1.095445115010332,1,3,,0
22,3,6,2,0.3333333333333333,2,0.3333333333333333,2020,2020-3,92.16666666666669,40.15677609901804,291,410,291,410,120,120,20.0,9.654014708917735,2,31,2.0,0.8944271909999159,1,3,,0
22,4,6,1,0.16666666666666666,2,0.3333333333333333,2020,2020-4,78.66666666666667,16.548917386544257,411,527,411,527,117,117,19.5,8.117881497040964,3,24,2.333333333333333,1.0327955589886446,1,4,,0
22,5,6,2,0.3333333333333333,1,0.16666666666666666,2020,2020-5,106.33333333333331,27.38369344457877,529,681,529,681,153,153,25.5,2.2583179581272432,23,29,1.6666666666666667,0.5163977794943223,1,2,,0
23,1,8,2,0.25,0,0.0,2021,2021-1,90.75,36.14949120369074,1,191,1,191,191,191,23.875,11.0639375579273,2,42,2.125,0.9910312089651148,1,4,,0
23,S1,61,11,0.18032786885245905,15,0.2459016393442623,2021,2021-S1,101.88524590163937,26.53557257761472,1,956,1,956,956,956,15.672131147540984,4.357833221053057,1,31,3.1311475409836067,2.2396086699545346,1,11,European Societies in the Time of the Coronavirus Crisis,1
23,2,6,2,0.3333333333333333,3,0.5,2021,2021-2,80.16666666666667,42.52724616838794,193,310,193,310,118,118,19.666666666666668,14.278188493876481,2,37,2.0,0.8944271909999159,1,3,,0
